TIMEPOINT,FOLDER,FILENAME,VIAL,REP,POINT,TEMP,SYMBIONT_TREATMENT,AVERAGE_FvFm,PAR,F,FvFm,Fm',Fo,Y(ii),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,Abs,lnh
1,11.4.24,T3V13-18,16,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V13-18,17,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V13-18,18,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V19-24,19,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V19-24,20,2,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V19-24,21,3,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V19-24,22,4,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V19-24,23,5,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V19-24,24,6,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V25-30,25,1,1,35.5,,0.204840524,0,0.1632,0.418181818,0.2805,0.1632,0.418,0,0.582,0,0,1,1,0,0,0
1,11.4.24,T3V25-30,25,2,2,35.5,,,0,0.1339,0.119078947,0.152,0.1339,0.119,0,0.881,0,0,1,1,0,0,0.715
1,11.4.24,T3V25-30,25,3,3,35.5,,,0,0.1608,0.127509495,0.1843,0.1608,0.127,0,0.873,0,0,1,1,0,0,0.695
1,11.4.24,T3V25-30,25,4,4,35.5,,,0,0.1657,0.154591837,0.196,0.1657,0.155,0,0.845,0,0,1,1,0,0,0.63
1,11.4.24,T3V25-30,26,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V25-30,27,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V25-30,28,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V25-30,29,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V25-30,30,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V31-36,31,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V31-36,32,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V31-36,33,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V31-36,34,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V31-36,35,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V31-36,36,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V37-42,37,1,1,35.5,,,0,0.1153,0.308338332,0.1667,0.1153,0.308,0,0.692,0,0,1,1,0,0,0
1,11.4.24,T3V37-42,38,1,2,35.5,,0.141010251,0,0.1696,0.227334852,0.2195,0.1696,0.227,0,0.773,0,0,1,1,0,0,0.262
1,11.4.24,T3V37-42,38,2,3,35.5,,,0,0.1823,0.118045477,0.2067,0.1823,0.118,0,0.882,0,0,1,1,0,0,0.616
1,11.4.24,T3V37-42,38,3,4,35.5,,,0,0.1281,0.188727042,0.1579,0.1281,0.189,0,0.811,0,0,1,1,0,0,0.387
1,11.4.24,T3V37-42,38,4,5,35.5,,,0,0.2312,0.081446166,0.2517,0.2312,0.082,0,0.918,0,0,1,1,0,0,0.735
1,11.4.24,T3V37-42,38,5,6,35.5,,,0,0.1994,0.089497717,0.219,0.1994,0.089,0,0.911,0,0,1,1,0,0,0.71
1,11.4.24,T3V37-42,39,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V37-42,40,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
